Data,Open,High,Low,Close,BTC-USD,SMA50,SMA200,RSI,ATR,Volume,VolumeAvg20,Azione,Livello_Rischio
2016-06-12,609.5,687.71,605.0,677.86,677.86,491.3936,433.51910000000004,89.99686912827667,27.225334042329933,18004.01737962,7792.937931413,ACQUISTA,ALTO
2016-06-13,677.45,720.0,663.55,706.01,706.01,496.2246,435.28630000000004,91.4113783316595,29.312810182163517,15497.40307056,8240.967461261,ACQUISTA,ALTO
2016-06-14,706.02,706.45,650.02,684.95,684.95,500.60020000000003,436.92010000000005,82.0621190314247,31.249752312008983,12443.0955638,8554.724450978001,ACQUISTA,ALTO
2016-06-15,684.99,699.3,673.0,698.78,698.78,505.164,438.6278,83.27206967561601,30.896198575436912,7913.03547125,8658.182125839501,MANTIENI STATO ATTUALE,ALTO
2016-06-16,698.76,777.68,698.76,769.76,769.76,511.653,440.6154,87.81488169117515,34.326470105762844,16806.85873763,9004.123738307,ACQUISTA,ALTO
2016-06-17,769.71,778.5,709.01,752.26,752.26,517.6646,442.4924,81.90879485456429,36.83815081249407,14007.79895098,9099.1408559925,ACQUISTA,ALTO
2016-06-18,752.0,785.15,734.8,758.99,758.99,523.668,444.47395000000006,82.3990580779642,37.80328289731593,9594.92358376,9081.0106730215,ACQUISTA,ALTO
2016-06-19,759.0,771.92,744.77,768.76,768.76,529.9628,446.51775000000004,83.11444554362667,37.04233411893622,5442.63878549,9055.125946195501,MANTIENI STATO ATTUALE,ALTO
2016-06-20,768.94,768.94,701.01,703.12,703.12,534.8856,448.2245,64.2267136524778,39.24859596758363,9837.24384715,9122.389504485001,MANTIENI STATO ATTUALE,ALTO
2016-06-21,706.47,718.26,628.6,667.66,667.66,539.3104,449.7429,56.72695005966161,42.84941054132766,26110.68887273,10141.0913065095,MANTIENI STATO ATTUALE,ALTO
2016-06-22,667.88,679.99,568.11,604.5,604.5,542.3562,450.82545,46.34609564894115,47.78016693123283,15592.43638084,10604.219189387,MANTIENI STATO ATTUALE,MEDIO
2016-06-23,606.13,637.89,544.13,631.1,631.1,546.0046,452.04320000000007,50.45798597579423,51.06444072185906,20474.00358887,11117.7330962205,MANTIENI STATO ATTUALE,MEDIO
2016-06-24,631.1,700.0,631.01,669.98,669.98,550.4046,453.41945,55.791081750986216,52.34483781315484,19078.84530672,11725.071592648,MANTIENI STATO ATTUALE,ALTO
2016-06-25,669.98,699.0,650.0,673.71,673.71,554.6326,454.69329999999997,56.27735392817508,52.10592082650093,7691.56323655,11860.4372820655,MANTIENI STATO ATTUALE,ALTO
2016-06-26,673.71,675.19,625.01,638.56,638.56,558.1656,455.79415,50.6260957292776,51.96835505317944,5678.38601546,11804.793356072001,MANTIENI STATO ATTUALE,ALTO
2016-06-27,638.56,659.98,630.0,657.87,657.87,562.0672,457.0051,53.3948656773196,50.39775826366662,6624.33980245,11632.018504108,MANTIENI STATO ATTUALE,ALTO
2016-06-28,657.86,663.53,638.0,648.43,648.43,565.7526,457.9825,51.863682477105584,48.62148981626186,5696.74677715,11633.7683843295,MANTIENI STATO ATTUALE,ALTO
2016-06-29,648.43,648.43,630.02,639.42,639.42,569.4853999999999,458.99524999999994,50.3787306735534,46.46352625795744,6485.12685807,11709.0432052155,MANTIENI STATO ATTUALE,MEDIO
2016-06-30,639.41,675.0,635.14,673.49,673.49,573.8678,460.19354999999996,55.56020212201384,45.99184581096048,7764.24646799,11814.2811977855,MANTIENI STATO ATTUALE,ALTO
2016-07-01,673.5,688.99,667.0,678.19,678.19,578.302,461.36445,56.23906527602574,44.277428253034735,6839.68854227,11879.154361967001,MANTIENI STATO ATTUALE,ALTO
2016-07-02,678.09,705.21,676.92,704.95,704.95,583.2414,462.56784999999996,59.986938395159,43.13546909210369,4977.98046916,11227.852516444,MANTIENI STATO ATTUALE,ALTO
2016-07-03,705.25,705.25,651.0,663.55,663.55,587.3344,463.61575,52.496193315672876,43.929364156953426,6495.70846259,10777.767786045499,MANTIENI STATO ATTUALE,ALTO
2016-07-04,664.09,683.69,653.16,681.98,681.98,591.7446,464.74814999999995,55.179408959381554,42.972266717171046,4327.4107689,10371.9835463005,MANTIENI STATO ATTUALE,ALTO
2016-07-05,681.98,682.37,662.51,669.87,669.87,596.0288,465.78165,53.05867093695482,41.3213905230874,5043.81182652,10228.522364064,MANTIENI STATO ATTUALE,ALTO
